"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"2009-09-12","connecticut","litchfield","Norfolk","Great Mountain Forest; Yale Forestry Camp.; baited pitfall trap.",41.95,-73.26,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","Raymond J. Pupedis"
"2009-09-12","connecticut","litchfield","Norfolk","Great Mountain Forest. Clearcut; Chattleton Rd.; baited pitfall trap.",41.95,-73.26,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","Raymond J. Pupedis"
"1954-09-13","connecticut","tolland","Andover",NA,41.737,-72.3697,113,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Merier"
"1972-09-15","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1979-09-15","connecticut","new haven","1 km North of Yale Campus; New Haven",NA,41.32,-72.93,32,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Philip B. Brylski"
"1972-09-16","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-16","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1962-09-17","connecticut","litchfield","Barkhamsted",NA,41.93,-72.912,324,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Madison"
"1972-09-18","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-20","connecticut","new haven","Mainland I","Strays along slate transect from M39-M19",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-20","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2008-09-20","connecticut","new haven","hemlock gui4","hwa-damaged hemlock stand",41.2949,-72.731,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-09-20","connecticut","new haven","hemlock gui6","hwa-damaged hemlock stand",41.2868,-72.729,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-09-21","connecticut","middlesex","hemlock had5","hwa-damaged hemlock stand",41.4768,-72.5516,177,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-09-21","connecticut","tolland","hemlock cli1","hwa-damaged hemlock stand",41.3065,-72.511,30,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"1971-09-23","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1979-09-24","connecticut","new haven","Guilford Leetes Island; New Haven",NA,41.27,-72.71,10,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Diane M. Beaudoin"
"1971-09-25","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2008-09-25","connecticut","tolland","hemlock sta2","healthy hemlock stand",41.962,-72.2561,229,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"2008-09-25","connecticut","tolland","hemlock cr.s","healthy hemlock stand",41.9646,-72.25,227,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"1972-09-28","connecticut","new haven","Mainland I","Along slate transect at M    (Post)",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-28","connecticut","new haven","Mainland I","M36-30",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-09-28","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"2008-09-28","connecticut","tolland","hemlock sta20","healthy hemlock stand",41.9278,-72.26,192,"Myrmicinae","Aphaenogaster","rudis","aphrud","URIC","DJCox"
"1972-09-30","connecticut","new haven","Branford. Mainland I","0.2 Km. N. of Hoadley Neck.  Along slate transect M25-M19. ""Strays"".",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-10-01","connecticut","new haven","Mainland I",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1972-10-02","connecticut","new haven","Horse Island","along slate transect at H82(POST)",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1982-10-02","connecticut","new haven","Edgerton Park; New Haven",NA,41.33,-72.91,16,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Karl Kleiner"
"1952-10-04","connecticut","tolland","Storrs",NA,41.8083,-72.25,NA,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Brown"
"1973-10-04","connecticut","new haven","Seymour",NA,NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","J.R. Lynch"
"1972-10-05","connecticut","new haven","Guilford","Old Quarry Rd",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","ELGoldstein"
"1972-10-10","connecticut","new haven","Mainland I","along slate transect M49-M57",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH","EG"
"1982-10-18","connecticut","new haven","Prospect Street; New Haven",NA,41.32,-72.92,40,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Karl Kleiner"
"1948-10-22","connecticut","new haven","East Rock Park; New Haven",NA,41.33,-72.91,69,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","J. Kerby Anderson"
"1973-10-22","connecticut","tolland","Bruie Pond",NA,42.0119,-72.3606,258,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Vanderlin"
"1973-10-22","connecticut","tolland","Bruie Pond",NA,42.0119,-72.3606,258,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Vanderlin"
"1973-10-22","connecticut","tolland","Bruie Pond",NA,42.0119,-72.3606,258,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","UCMS","Vanderlin"
"1978-10-23","connecticut","new haven","Fornham Gardens; New Haven",NA,41.32,-72.93,39,"Myrmicinae","Aphaenogaster","rudis complex","aphrud","PMNH","Lee Orames"
NA,"connecticut","litchfield","Colebrook",NA,42.001,-73.084,NA,"Myrmicinae","Aphaenogaster","rudis group","aphrud","MCZ-Lubertazzi DB","W.M. Wheeler"
NA,"connecticut","litchfield","Colebrook",NA,42.001,-73.084,NA,"Myrmicinae","Aphaenogaster","rudis group","aphrud","MCZ-Lubertazzi DB","W.M. Wheeler"
NA,"connecticut","new haven","Seymour","under stones in woods",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","PMNH",NA
