"date","state","county","locality","habitat","latitude","longitude","masl","subfamily","ant.genus","ant.species","code","collection","collector"
"2005-07-06","massachusetts","nantucket","Mowed-E","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-07","massachusetts","nantucket","HM02","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-07","massachusetts","nantucket","HM02","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-07","massachusetts","nantucket","SQUAMSWAMP","RedMapleTupeloSwamp",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-07","massachusetts","nantucket","NorwoodFarm","ScrubOak/Grassland Mix",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-07","massachusetts","nantucket","NorwoodFarm","ScrubOak/Grassland Mix",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-07","massachusetts","nantucket","NorwoodFarm","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-08","massachusetts","nantucket","STATEFOREST","PitchPineWhitePine",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-08","massachusetts","nantucket","STATEFOREST","PitchPineWhitePine",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2004-07-08","massachusetts","nantucket","SMOOTHHUMMOCKS","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-08","massachusetts","nantucket","NorwoodFarm","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2009-07-08","massachusetts","nantucket","NorwoodFarm","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2006-07-09","massachusetts","nantucket","Madequecham","PineHeathBarren",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2006-07-10","massachusetts","nantucket","MAS-NBI","Grassland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","McKennaFoster"
"2005-07-12","massachusetts","nantucket","Mowed-E","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-12","massachusetts","nantucket","Mowed-D","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-12","massachusetts","nantucket","SO Thicket-C","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-12","massachusetts","nantucket","SO Thicket-B","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2005-07-12","massachusetts","nantucket","SO Thicket-A","ScrubOakShrubland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Mello"
"2000-07-13","massachusetts","nantucket","Taupshwa","Bog",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
"2000-07-13","massachusetts","nantucket","Taupshwa","Heathland",NA,NA,NA,"Myrmicinae","Aphaenogaster","rudis","aphrud","HFR","Ellison/Farnsworth/Gotelli"
